2026-03-29 18:32:52.135 [main] INFO  com.itheima.TliasWebManagementApplication-Starting TliasWebManagementApplication using Java 17.0.17 with PID 2956 (D:\JAVAweb\web-ai-project02\tlias-web-management\target\classes started by 27628 in D:\JAVAweb\web-ai-project02)
2026-03-29 18:53:18.943 [main] INFO  org.apache.catalina.core.StandardService-Starting service [Tomcat]
2026-03-29 18:53:18.943 [main] INFO  org.apache.catalina.core.StandardEngine-Starting Servlet engine: [Apache Tomcat/10.1.52]
2026-03-29 18:53:19.024 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/]-Initializing Spring embedded WebApplicationContext
2026-03-29 18:53:19.025 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext-Root WebApplicationContext: initialization completed in 1060 ms
2026-03-29 18:53:19.543 [main] INFO  org.apache.coyote.http11.Http11NioProtocol-Starting ProtocolHandler ["http-nio-8080"]
2026-03-29 18:53:19.567 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer-Tomcat started on port 8080 (http) with context path '/'
2026-03-29 18:53:19.575 [main] INFO  com.itheima.TliasWebManagementApplication-Started TliasWebManagementApplication in 2.154 seconds (process running for 3.139)
2026-03-29 18:53:23.174 [http-nio-8080-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/]-Initializing Spring DispatcherServlet 'dispatcherServlet'
2026-03-29 18:53:23.174 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet-Initializing Servlet 'dispatcherServlet'
2026-03-29 18:53:23.176 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet-Completed initialization in 2 ms
2026-03-29 18:53:23.239 [http-nio-8080-exec-1] INFO  com.itheima.controller.Deptcontroller-查询全部部门数据
2026-03-29 18:53:23.279 [http-nio-8080-exec-1] INFO  com.zaxxer.hikari.HikariDataSource-HikariPool-1 - Starting...
2026-03-29 18:53:23.825 [http-nio-8080-exec-1] INFO  com.zaxxer.hikari.pool.HikariPool-HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@5e9a8df9
2026-03-29 18:53:23.828 [http-nio-8080-exec-1] INFO  com.zaxxer.hikari.HikariDataSource-HikariPool-1 - Start completed.
2026-03-29 18:54:04.656 [http-nio-8080-exec-3] INFO  com.itheima.controller.Deptcontroller-查询全部部门数据
2026-03-29 18:54:26.297 [SpringApplicationShutdownHook] INFO  o.s.boot.web.embedded.tomcat.GracefulShutdown-Commencing graceful shutdown. Waiting for active requests to complete
2026-03-29 18:54:27.876 [tomcat-shutdown] INFO  o.s.boot.web.embedded.tomcat.GracefulShutdown-Graceful shutdown complete
2026-03-29 18:54:27.880 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource-HikariPool-1 - Shutdown initiated...
2026-03-29 18:54:27.888 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource-HikariPool-1 - Shutdown completed.
2026-03-29 19:48:17.451 [main] INFO  com.itheima.TliasWebManagementApplication-Starting TliasWebManagementApplication using Java 17.0.17 with PID 27756 (D:\JAVAweb\web-ai-project02\tlias-web-management\target\classes started by 27628 in D:\JAVAweb\web-ai-project02)
2026-03-29 19:48:17.453 [main] INFO  com.itheima.TliasWebManagementApplication-No active profile set, falling back to 1 default profile: "default"
2026-03-29 19:48:18.654 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer-Tomcat initialized with port 8080 (http)
2026-03-29 19:48:18.674 [main] INFO  org.apache.coyote.http11.Http11NioProtocol-Initializing ProtocolHandler ["http-nio-8080"]
2026-03-29 19:48:18.677 [main] INFO  org.apache.catalina.core.StandardService-Starting service [Tomcat]
2026-03-29 19:48:18.677 [main] INFO  org.apache.catalina.core.StandardEngine-Starting Servlet engine: [Apache Tomcat/10.1.52]
2026-03-29 19:48:18.777 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/]-Initializing Spring embedded WebApplicationContext
2026-03-29 19:48:18.777 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext-Root WebApplicationContext: initialization completed in 1270 ms
2026-03-29 19:48:19.423 [main] INFO  org.apache.coyote.http11.Http11NioProtocol-Starting ProtocolHandler ["http-nio-8080"]
2026-03-29 19:48:19.448 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer-Tomcat started on port 8080 (http) with context path '/'
2026-03-29 19:48:19.459 [main] INFO  com.itheima.TliasWebManagementApplication-Started TliasWebManagementApplication in 2.584 seconds (process running for 3.79)
2026-03-29 19:48:53.146 [http-nio-8080-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/]-Initializing Spring DispatcherServlet 'dispatcherServlet'
2026-03-29 19:48:53.146 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet-Initializing Servlet 'dispatcherServlet'
2026-03-29 19:48:53.148 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet-Completed initialization in 2 ms
2026-03-29 19:48:53.214 [http-nio-8080-exec-1] INFO  com.itheima.controller.Deptcontroller-查询全部部门数据
2026-03-29 19:48:53.251 [http-nio-8080-exec-1] INFO  com.zaxxer.hikari.HikariDataSource-HikariPool-1 - Starting...
2026-03-29 19:48:53.964 [http-nio-8080-exec-1] INFO  com.zaxxer.hikari.pool.HikariPool-HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@5e9a8df9
2026-03-29 19:48:53.969 [http-nio-8080-exec-1] INFO  com.zaxxer.hikari.HikariDataSource-HikariPool-1 - Start completed.
2026-03-29 19:48:54.154 [http-nio-8080-exec-3] INFO  com.itheima.controller.Deptcontroller-查询全部部门数据
2026-03-29 19:48:54.172 [http-nio-8080-exec-4] INFO  com.itheima.controller.Deptcontroller-查询全部部门数据
2026-03-29 19:49:00.192 [SpringApplicationShutdownHook] INFO  o.s.boot.web.embedded.tomcat.GracefulShutdown-Commencing graceful shutdown. Waiting for active requests to complete
2026-03-29 19:49:01.640 [tomcat-shutdown] INFO  o.s.boot.web.embedded.tomcat.GracefulShutdown-Graceful shutdown complete
2026-03-29 19:49:01.642 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource-HikariPool-1 - Shutdown initiated...
2026-03-29 19:49:01.650 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource-HikariPool-1 - Shutdown completed.
